"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Authentication","User Login","0","0","1","0","0"
"","User Management","Fetch Single User","0","0","1","0","0"
"","Authentication","User Logout","0","0","1","0","0"
"","Authentication","Failed User Registration","0","0","1","0","0"
"","User Management","Update User","0","0","1","0","0"
"","Authentication","User Registration","0","0","1","0","0"
"","User Management","Fetch Users","0","0","1","0","0"
"","Authentication","Failed User Login","0","0","1","0","0"
"","User Management","Create User","0","0","1","0","0"
"","User Management","Partially Update User","0","0","1","0","0"
"","User Management","Delete User","0","0","1","0","0"
